Time,AIR LOOP:DesPer 1:Des Heat Mass Flow [kg/s],AIR LOOP:DesPer 1:Des Heat Cap [W],AIR LOOP:DesPer 1:Des Cool Mass Flow [kg/s],AIR LOOP:DesPer 1:Des Sens Cool Cap [W],AIR LOOP:DesPer 1:Des Tot Cool Cap [W],AIR LOOP:DesPer 2:Des Heat Mass Flow [kg/s],AIR LOOP:DesPer 2:Des Heat Cap [W],AIR LOOP:DesPer 2:Des Cool Mass Flow [kg/s],AIR LOOP:DesPer 2:Des Sens Cool Cap [W],AIR LOOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.765642E+00,0.000000E+00,2.765642E+00,4.553799E+04,1.242411E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
00:20:00,2.765642E+00,0.000000E+00,2.765642E+00,4.537681E+04,1.240734E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
00:30:00,2.765642E+00,0.000000E+00,2.765642E+00,4.521562E+04,1.239057E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
00:40:00,2.765642E+00,0.000000E+00,2.765642E+00,4.505443E+04,1.237381E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
00:50:00,2.765642E+00,0.000000E+00,2.765642E+00,4.489325E+04,1.235704E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
01:00:00,2.765642E+00,0.000000E+00,2.765642E+00,4.473206E+04,1.234028E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
01:10:00,2.765642E+00,0.000000E+00,2.765642E+00,4.462460E+04,1.232910E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
01:20:00,2.765642E+00,0.000000E+00,2.765642E+00,4.451714E+04,1.231792E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
01:30:00,2.765642E+00,0.000000E+00,2.765642E+00,4.440969E+04,1.230674E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
01:40:00,2.765642E+00,0.000000E+00,2.765642E+00,4.430223E+04,1.229557E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
01:50:00,2.765642E+00,0.000000E+00,2.765642E+00,4.419477E+04,1.228439E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
02:00:00,2.765642E+00,0.000000E+00,2.765642E+00,4.408731E+04,1.227321E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
02:10:00,2.765642E+00,0.000000E+00,2.765642E+00,4.400672E+04,1.226483E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
02:20:00,2.765642E+00,0.000000E+00,2.765642E+00,4.392613E+04,1.225644E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
02:30:00,2.765642E+00,0.000000E+00,2.765642E+00,4.384553E+04,1.224806E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
02:40:00,2.765642E+00,0.000000E+00,2.765642E+00,4.376494E+04,1.223967E+05,2.765642E+00,0.000000E+00,2.765642E+00,3.084778E+04,1.008819E+05
